iata,country,lat,lon
GKA,Papua New Guinea,-6.081689834590001,145.391998291
MAG,Papua New Guinea,-5.20707988739,145.789001465
HGU,Papua New Guinea,-5.826789855957031,144.29600524902344
LAE,Papua New Guinea,-6.569803,146.725977
POM,Papua New Guinea,-9.443380355834961,147.22000122070312
WWK,Papua New Guinea,-3.58383011818,143.669006348
UAK,Greenland,61.1604995728,-45.4259986877
GOH,Greenland,64.19090271,-51.6781005859
SFJ,Greenland,67.0122218992,-50.7116031647
THU,Greenland,76.5311965942,-68.7032012939
AEY,Iceland,65.66000366210938,-18.07270050048828
EGS,Iceland,65.2833023071289,-14.401399612426758
HFN,Iceland,64.295601,-15.2272
HZK,Iceland,65.952301,-17.426001
IFJ,Iceland,66.05809783935547,-23.135299682617188
KEF,Iceland,63.985000610352,-22.605600357056
PFJ,Iceland,65.555801,-23.965
RKV,Iceland,64.1299972534,-21.9405994415
SIJ,Iceland,66.133301,-18.9167
VEY,Iceland,63.42430114746094,-20.278900146484375
YAM,Canada,46.48500061035156,-84.5093994140625
YAY,Canada,51.3918991089,-56.083099365200006
YAZ,Canada,49.079833,-125.775583
YBB,Canada,68.534401,-89.808098
YBC,Canada,49.13249969482422,-68.20439910888672
YBG,Canada,48.33060073852539,-70.99639892578125
YBK,Canada,64.29889678960001,-96.077796936
YBL,Canada,49.950801849365234,-125.27100372314453
YBR,Canada,49.91,-99.951897
YCB,Canada,69.1081008911,-105.138000488
YCD,Canada,49.054970224899996,-123.869862556
YCG,Canada,49.2963981628,-117.632003784
YCH,Canada,47.007801,-65.449203
YCL,Canada,47.990799,-66.330299
YCO,Canada,67.816704,-115.143997
YCT,Canada,52.0750007629,-111.444999695
YCW,Canada,49.1528015137,-121.939002991
YCY,Canada,70.4860992432,-68.5167007446
YZS,Canada,64.1932983398,-83.3593978882
YDA,Canada,64.04309844970703,-139.1280059814453
YDB,Canada,61.37110137939453,-139.04100036621094
YDF,Canada,49.21080017089844,-57.39139938354492
YDL,Canada,58.4221992493,-130.031997681
YDN,Canada,51.100799560546875,-100.052001953125
YDQ,Canada,55.7422981262207,-120.18299865722656
YEG,Canada,53.309700012200004,-113.580001831
YEK,Canada,61.0942001343,-94.07080078119999
YEN,Canada,49.2103004456,-102.966003418
YET,Canada,53.578899383499994,-116.464996338
YEU,Canada,79.9946975708,-85.814201355
YEV,Canada,68.30419921880001,-133.483001709
YFB,Canada,63.756402,-68.555801
YFC,Canada,45.868900299072266,-66.53720092773438
YFE,Canada,48.74610137939453,-69.09719848632812
YFO,Canada,54.6781005859375,-101.68199920654297
YFR,Canada,61.1808013916,-113.690002441
YFS,Canada,61.76020050048828,-121.23699951171875
YGK,Canada,44.22529983520508,-76.5969009399414
YGL,Canada,53.625301361083984,-77.7042007446289
YGP,Canada,48.7752990723,-64.4785995483
YGQ,Canada,49.77830123901367,-86.93939971923828
YGR,Canada,47.42470169067383,-61.778099060058594
YHB,Canada,52.8166999817,-102.310997009
YHD,Canada,49.831699,-92.744202
YHI,Canada,70.76280212402344,-117.80599975585938
YHK,Canada,68.635597229,-95.84970092770001
YHM,Canada,43.173599243199995,-79.93499755859999
YHU,Canada,45.5175018311,-73.4169006348
YHY,Canada,60.8396987915,-115.782997131
YHZ,Canada,44.8807983398,-63.5085983276
YIB,Canada,48.7738990784,-91.6386032104
YIO,Canada,72.6832962036,-77.9666976929
YJN,Canada,45.29439926147461,-73.28109741210938
YJT,Canada,48.5442008972168,-58.54999923706055
YKA,Canada,50.7022018433,-120.444000244
YKF,Canada,43.460800170899994,-80.3786010742
YKL,Canada,54.805301666259766,-66.8052978515625
YKY,Canada,51.5175018311,-109.180999756
YKZ,Canada,43.86220169067383,-79.37000274658203
YLD,Canada,47.81999969482422,-83.3467025756836
YLJ,Canada,54.125301361083984,-108.52300262451172
YLL,Canada,53.309200286865234,-110.072998046875
YLT,Canada,82.51779937740001,-62.2806015015
YLW,Canada,49.9561004639,-119.377998352
YMA,Canada,63.61640167236328,-135.8679962158203
YMJ,Canada,50.330299377441406,-105.55899810791016
YMM,Canada,56.653301239,-111.222000122
YMO,Canada,51.291099548339844,-80.60780334472656
YMW,Canada,46.2728004456,-75.9906005859
YMX,Canada,45.679501,-74.038696
YNA,Canada,50.189998626708984,-61.78919982910156
YND,Canada,45.521701812699995,-75.5635986328
YNM,Canada,49.76169967651367,-77.80280303955078
YOC,Canada,67.57060241699219,-139.83900451660156
YOD,Canada,54.404998779296875,-110.27899932861328
YOJ,Canada,58.62139892578125,-117.16500091552734
YOW,Canada,45.3224983215332,-75.66919708251953
YPA,Canada,53.214199066199996,-105.672996521
YPE,Canada,56.226898,-117.446999
YPG,Canada,49.903099,-98.273817
YPL,Canada,51.4463996887207,-90.21420288085938
YPN,Canada,49.83639907836914,-64.2885971069336
YPQ,Canada,44.22999954223633,-78.36329650878906
YPR,Canada,54.286098480199996,-130.445007324
YPY,Canada,58.7672004699707,-111.11699676513672
YQA,Canada,44.974700927734375,-79.30329895019531
YQB,Canada,46.7911,-71.393303
YQF,Canada,52.18220138549805,-113.89399719238281
YQG,Canada,42.27560043334961,-82.95559692382812
YQH,Canada,60.11640167236328,-128.82200622558594
YQK,Canada,49.788299560546875,-94.36309814453125
YQL,Canada,49.6302986145,-112.800003052
YQM,Canada,46.11220169067383,-64.67859649658203
YQQ,Canada,49.71080017089844,-124.88700103759766
YQR,Canada,50.43190002441406,-104.66600036621094
YQT,Canada,48.37189865112305,-89.32389831542969
YQU,Canada,55.1796989441,-118.885002136
YQV,Canada,51.26470184326172,-102.46199798583984
YQW,Canada,52.76919937133789,-108.24400329589844
YQX,Canada,48.9369010925293,-54.56809997558594
YQY,Canada,46.1614,-60.047798
YQZ,Canada,53.026100158691406,-122.51000213623047
YRB,Canada,74.7169036865,-94.9693984985
YRI,Canada,47.764400482177734,-69.58470153808594
YRJ,Canada,48.52000045776367,-72.2656021118164
YRM,Canada,52.4296989441,-114.903999329
YRT,Canada,62.8114013672,-92.1157989502
YSB,Canada,46.625,-80.79889678955078
YSC,Canada,45.4385986328125,-71.69139862060547
YSJ,Canada,45.31610107421875,-65.89029693603516
YSM,Canada,60.020301818847656,-111.96199798583984
YSR,Canada,72.982201,-84.613602
YSU,Canada,46.44060134887695,-63.83359909057617
YSY,Canada,71.9938964844,-125.242996216
YTE,Canada,64.2300033569,-76.5267028809
YTH,Canada,55.80110168457031,-97.86419677734375
YTR,Canada,44.118900299072266,-77.5280990600586
YTS,Canada,48.569698333699996,-81.376701355
YTZ,Canada,43.627499,-79.396202
YUB,Canada,69.43329620361328,-133.0260009765625
YUL,Canada,45.4706001282,-73.7407989502
YUT,Canada,66.5214004517,-86.22470092770001
YUX,Canada,68.77610015869999,-81.2425
YUY,Canada,48.20610046386719,-78.83560180664062
YVC,Canada,55.151401519800004,-105.262001038
YVG,Canada,53.355800628699996,-110.823997498
YVM,Canada,67.5457992554,-64.03140258789999
YVO,Canada,48.0532989502,-77.7827987671
YVP,Canada,58.096099853515625,-68.4269027709961
YVQ,Canada,65.28160095214844,-126.7979965209961
YVR,Canada,49.193901062,-123.183998108
YVT,Canada,55.8418998718,-108.417999268
YVV,Canada,44.7458,-81.107201
YWA,Canada,45.95220184326172,-77.31919860839844
YWG,Canada,49.909999847399995,-97.2398986816
YWK,Canada,52.92190170288086,-66.8644027709961
YWL,Canada,52.1831016541,-122.054000854
YWY,Canada,63.20940017700195,-123.43699645996094
YXC,Canada,49.610801696777,-115.78199768066
YXD,Canada,53.5724983215,-113.521003723
YXE,Canada,52.170799255371094,-106.69999694824219
YXH,Canada,50.01890182495117,-110.72100067138672
YXJ,Canada,56.23809814453125,-120.73999786376953
YXL,Canada,50.11389923095703,-91.9052963256836
YXP,Canada,66.1449966431,-65.71360015869999
YXR,Canada,47.697400654599996,-79.8473453522
YXS,Canada,53.8894004822,-122.679000854
YXT,Canada,54.468498,-128.576009
YXU,Canada,43.035599,-81.1539
YXX,Canada,49.025299072265625,-122.36100006103516
YXY,Canada,60.7095985413,-135.067001343
YYB,Canada,46.363602,-79.422798
YYC,Canada,51.113899231,-114.019996643
